input,target,prompt,variant
inputs/astoria_full_0000_input.png,targets/astoria_full_0000_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/astoria_quadrant_0001_input.png,targets/astoria_quadrant_0001_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/astoria_half_0002_input.png,targets/astoria_half_0002_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/astoria_middle_0003_input.png,targets/astoria_middle_0003_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/astoria_rect_strip_0004_input.png,targets/astoria_rect_strip_0004_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/astoria_rect_infill_0005_input.png,targets/astoria_rect_infill_0005_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/battery_park_full_0006_input.png,targets/battery_park_full_0006_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/battery_park_quadrant_0007_input.png,targets/battery_park_quadrant_0007_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/battery_park_half_0008_input.png,targets/battery_park_half_0008_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/battery_park_middle_0009_input.png,targets/battery_park_middle_0009_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/battery_park_rect_strip_0010_input.png,targets/battery_park_rect_strip_0010_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/battery_park_rect_infill_0011_input.png,targets/battery_park_rect_infill_0011_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/bronx_grand_concourse_full_0012_input.png,targets/bronx_grand_concourse_full_0012_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
inputs/bronx_grand_concourse_quadrant_0013_input.png,targets/bronx_grand_concourse_quadrant_0013_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: quadrant.,quadrant
inputs/bronx_grand_concourse_half_0014_input.png,targets/bronx_grand_concourse_half_0014_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: half.,half
inputs/bronx_grand_concourse_middle_0015_input.png,targets/bronx_grand_concourse_middle_0015_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: middle.,middle
inputs/bronx_grand_concourse_rect_strip_0016_input.png,targets/bronx_grand_concourse_rect_strip_0016_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_strip.,rect_strip
inputs/bronx_grand_concourse_rect_infill_0017_input.png,targets/bronx_grand_concourse_rect_infill_0017_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: rect_infill.,rect_infill
inputs/brooklyn_bridge_full_0018_input.png,targets/brooklyn_bridge_full_0018_target.png,Fill in the outlined section with the missing pixels corresponding to the <sprite nyc pixel art> style. The red border indicates the region to generate. Variant: full.,full
